company,attack_vector,mitre_attack_technique,data_compromised,operational_impact,attacker_named,confidence,filed_date,source_url
"INOTIV, INC.",insufficient_data,,[],,,low,2026-05-18,https://www.sec.gov/Archives/edgar/data/720154/000110465926063032/tm2614614d1_8k.htm
"loanDepot, Inc.",unknown_unauthorized_access,,[],,,low,2026-05-05,https://www.sec.gov/Archives/edgar/data/1831631/000183163126000057/a1q26investorpresentatio.htm
Equifax,insufficient_data,,[],,,low,2022-07-20,https://www.sec.gov/Archives/edgar/data/33185/000003318522000038/exhibit99120220630.htm
"loanDepot, Inc.",unknown_unauthorized_access,,[],,,low,2026-03-10,https://www.sec.gov/Archives/edgar/data/1831631/000183163126000025/a4q25investorpresentatio.htm
Equifax,insufficient_data,,[],,,high,2023-07-19,https://www.sec.gov/Archives/edgar/data/33185/000003318523000029/exhibit99120230630.htm
LOGITECH INTERNATIONAL S.A.,third_party_vendor,T1190,"['limited information about employees and consumers', 'data relating to customers and suppliers']",,,high,2025-11-14,https://www.sec.gov/Archives/edgar/data/1032975/000103297525000085/logi-20251114.htm
Equifax Inc.,insufficient_data,,[],,,high,2023-02-08,https://www.sec.gov/Archives/edgar/data/33185/000003318523000004/a2022q48-kexhibit991.htm
Equifax Inc.,insufficient_data,,[],,,low,2021-10-20,https://www.sec.gov/Archives/edgar/data/33185/000003318521000051/exhibit99120210930.htm
Equifax,insufficient_data,,[],,,low,2022-04-20,https://www.sec.gov/Archives/edgar/data/33185/000003318522000019/exhibit99120220331.htm
FXCM Inc.,unknown_unauthorized_access,T1078,['customer information'],small number of unauthorized wire transfers from customer accounts (all funds returned),,medium,2015-10-01,https://www.sec.gov/Archives/edgar/data/1499912/000114420415057524/v421353_ex99-1.htm
DocGo Inc.,unknown_unauthorized_access,,"['protected health information', 'healthcare records']",None reported; incident has not had a material impact on operations.,,medium,2024-05-07,https://www.sec.gov/Archives/edgar/data/1822359/000182235924000037/dcgo-20240507.htm
"loanDepot, Inc.",insufficient_data,,[],,,low,2024-11-05,https://www.sec.gov/Archives/edgar/data/1831631/000183163124000266/a3q24investorpresentatio.htm
"Krispy Kreme, Inc.",unknown_unauthorized_access,,[],"operational disruptions, including with online ordering in parts of the U.S.",,low,2025-02-25,https://www.sec.gov/Archives/edgar/data/1857154/000185715425000009/exh991q4pressrelease2024.htm
Equifax,insufficient_data,,[],,,low,2025-02-06,https://www.sec.gov/Archives/edgar/data/33185/000003318525000009/a2024q48-kexhibit991.htm
"MUELLER WATER PRODUCTS, INC.",ransomware,T1486,[],"Disruptions and limitation of access to portions of business applications supporting operations and corporate functions, limiting the company's ability to take orders and ship products, and delaying the filing of the Annual Report on Form 10-K.",,high,2023-11-29,https://www.sec.gov/Archives/edgar/data/1350593/000135059323000054/mwa-20231129.htm
Equifax Inc.,unknown_unauthorized_access,,"['PII', 'SSN', 'financial records', ""driver's licenses"", 'passports', 'taxpayer ID cards', 'names', 'dates of birth', 'address information', 'gender', 'phone numbers', 'email addresses', 'payment card number and expiration date']",,,high,2018-05-07,https://www.sec.gov/Archives/edgar/data/33185/000119312518154706/d583804d8k.htm
"MiniMed Group, Inc.",unknown_unauthorized_access,,[],,,medium,2026-04-27,https://www.sec.gov/Archives/edgar/data/2062583/000110465926049045/tm2612783d1_8k.htm
"loanDepot, Inc.",insufficient_data,,[],,,low,2024-08-06,https://www.sec.gov/Archives/edgar/data/1831631/000183163124000198/a2024q2formearningsrelease.htm
Equifax,insufficient_data,,[],,,high,2024-04-17,https://www.sec.gov/Archives/edgar/data/33185/000003318524000025/exhibit99120240331.htm
"Affirm Holdings, Inc.",third_party_vendor,,"['personal information', 'financial information']",,,high,2024-07-01,https://www.sec.gov/Archives/edgar/data/1820953/000182095324000027/afrm-20240625.htm
Equifax Inc.,unknown_unauthorized_access,,"['PII', 'SSN', ""driver's license information""]",,,medium,2018-03-01,https://www.sec.gov/Archives/edgar/data/33185/000119312518065580/d530771dex991.htm
SBTech (Global) Limited,ransomware,T1486,[],The operation of sports betting and iGaming services of SBTech's customers was interrupted. SBTech shut down its data centers and compensated customers for down time.,,medium,2020-05-15,https://www.sec.gov/Archives/edgar/data/1772757/000110465920062041/tm2019399d1_ex99-4.htm
Freeport-McMoRan Inc.,unknown_unauthorized_access,,[],Limited impact on production to date; transitional solutions being planned and implemented; potential for future disruption.,,low,2023-08-11,https://www.sec.gov/Archives/edgar/data/831259/000119312523210875/d440084dex991.htm
Equifax,insufficient_data,,[],,,low,2022-10-19,https://www.sec.gov/Archives/edgar/data/33185/000003318522000054/exhibit99120220930.htm
Equifax Inc.,insufficient_data,,[],,,low,2024-02-07,https://www.sec.gov/Archives/edgar/data/33185/000003318524000008/a2023q48-kexhibit991.htm
"Ideanomics, Inc.",insufficient_data,,,"caused a delay or disruption to parts of Timios’ business, including its ability to perform its mortgage title, closing and escrow services offerings, and resulted in a systems outage.",,low,2021-08-04,https://www.sec.gov/Archives/edgar/data/837852/000110465921100065/tm2124118d1_8k.htm
"Henry Schein, Inc.",insufficient_data,,[],Business interruption resulting in an estimated reduction of net sales by $350 million to $400 million in the fourth quarter and negative financial impacts on GAAP and non-GAAP net income/diluted EPS.,,low,2024-02-27,https://www.sec.gov/Archives/edgar/data/1000228/000100022824000008/exhibit991.htm
Equifax,insufficient_data,,[],,,high,2025-04-22,https://www.sec.gov/Archives/edgar/data/33185/000003318525000035/exhibit99120250331.htm
Maximus,third_party_vendor,,,"Approximately $22 million expense incurred for total investigation and remediation costs, affecting earnings and guidance.",,medium,2023-08-03,https://www.sec.gov/Archives/edgar/data/1032220/000103222023000064/mms-2023x06x30x8kxex991.htm
RTX Corporation,ransomware,T1486,[],"Customers shifted to back-up or manual processes, experiencing certain flight delays and cancellations.",,high,2025-09-24,https://www.sec.gov/Archives/edgar/data/101829/000010182925000036/rtx-20250919.htm
BK Technologies Corporation,unknown_unauthorized_access,,['records pertaining to current and former employees'],a limited number of non-critical systems experienced minor disruption; operations have continued throughout the period in all material respects,,medium,2025-10-06,https://www.sec.gov/Archives/edgar/data/2186/000143774925030540/bkti20251006_8k.htm
"loanDepot, Inc.",insufficient_data,,,,,low,2024-08-06,https://www.sec.gov/Archives/edgar/data/1831631/000183163124000198/a2q24investorpresentatio.htm
"loanDepot, Inc.",insufficient_data,,[],,,low,2024-11-05,https://www.sec.gov/Archives/edgar/data/1831631/000183163124000266/a2024q3formearningsrelease.htm
ADT Inc.,third_party_vendor,T1078,['employee user account data'],Containment measures have resulted in some disruptions to the Company's information systems.,,high,2024-10-07,https://www.sec.gov/Archives/edgar/data/1703056/000119312524233900/d876174d8k.htm
Medtronic plc,unknown_unauthorized_access,,[],,,medium,2026-04-27,https://www.sec.gov/Archives/edgar/data/1613103/000162828026027272/mdt-20260424.htm
"RCI HOSPITALITY HOLDINGS, INC.",unknown_unauthorized_access,T1190,"['PII', 'names and contact information', 'dates of birth', 'SSN', ""driver's license numbers""]",The incident did not impact the business operations of the Company.,,high,2026-04-13,https://www.sec.gov/Archives/edgar/data/935419/000162828026024806/rick-20260407.htm
Boyd Gaming Corporation,unknown_unauthorized_access,,['PII'],None stated (has had no impact on the Company's properties or business operations),,medium,2025-09-23,https://www.sec.gov/Archives/edgar/data/906553/000119312525213546/d20726d8k.htm
Equifax,insufficient_data,,,,,low,2024-10-16,https://www.sec.gov/Archives/edgar/data/33185/000003318524000055/exhibit99120240930.htm
Equifax,insufficient_data,,[],,,low,2026-02-04,https://www.sec.gov/Archives/edgar/data/33185/000003318526000004/a2025q48-kexhibit991.htm
"PROG Holdings, Inc.",insufficient_data,,[],,,low,2024-10-23,https://www.sec.gov/Archives/edgar/data/1808834/000180883424000111/a2024q3ex991thirdquarter20.htm
"PROG Holdings, Inc.",insufficient_data,,[],,,low,2025-02-19,https://www.sec.gov/Archives/edgar/data/1808834/000180883425000008/a2024q4ex991fourthquarter2.htm
"loanDepot, Inc.",ransomware,T1486,[],The Company shut down certain systems and continues to implement measures to secure its business operations and bring systems back online.,,medium,2024-01-08,https://www.sec.gov/Archives/edgar/data/1831631/000183163124000004/ldi-20240104.htm
Equifax,insufficient_data,,[],,,low,2023-10-18,https://www.sec.gov/Archives/edgar/data/33185/000003318523000040/exhibit99120230930.htm
"Phoenix Education Partners, Inc.",third_party_vendor,T1190,"['names', 'contact information', 'dates of birth', 'social security numbers', 'bank account and routing numbers']",The incident did not impact the business operations or student programming of the Company.,,high,2025-12-02,https://www.sec.gov/Archives/edgar/data/1600222/000095014225003098/eh250711375_8k.htm
"Henry Schein, Inc.",insufficient_data,,[],"Disruption to dental and medical distribution businesses, proactive shutdown of business-critical systems, and ecommerce platform downtime, resulting in an estimated $0.55 to $0.75 per share business interruption impact.",,low,2023-11-13,https://www.sec.gov/Archives/edgar/data/1000228/000100022823000046/exhibit991.htm
Equifax Inc.,unknown_unauthorized_access,,"['PII', 'credit cards']",,,medium,2017-10-02,https://www.sec.gov/Archives/edgar/data/33185/000119312517301130/d335628dex991.htm
"loanDepot, Inc.",insufficient_data,,[],,,low,2025-08-07,https://www.sec.gov/Archives/edgar/data/1831631/000183163125000152/a2q25investorpresentatio.htm
"Mueller Water Products, Inc.",unknown_unauthorized_access,,[],"Disrupted access to certain operational and information technology systems, impacting the Company’s ability to finalize its fiscal 2023 financial statements and postponing its quarterly earnings conference call.",,low,2023-11-03,https://www.sec.gov/Archives/edgar/data/1350593/000135059323000048/pressrelease110323.htm
Equifax,insufficient_data,,[],,,high,2026-04-21,https://www.sec.gov/Archives/edgar/data/33185/000003318526000016/exhibit99120260331.htm
"loanDepot, Inc.",insufficient_data,,[],,,low,2025-05-06,https://www.sec.gov/Archives/edgar/data/1831631/000183163125000080/a2025q1earningsreleaseex991.htm
"loanDepot, Inc.",insufficient_data,,[],,,low,2025-03-11,https://www.sec.gov/Archives/edgar/data/1831631/000183163125000020/a2024q4formearningsrelease.htm
Equifax,insufficient_data,,[],,,high,2025-10-21,https://www.sec.gov/Archives/edgar/data/33185/000003318525000061/exhibit99120250930.htm
JOHNSON CONTROLS INTERNATIONAL PLC,ransomware,T1486,[],"Disruptions and limitation of access to portions of business applications supporting aspects of operations and corporate functions, including systems supporting or providing data used in financial reporting, leading to an expected delay in reporting fiscal 2023 fourth quarter and year-end results.",,medium,2023-11-13,https://www.sec.gov/Archives/edgar/data/833444/000083344423000038/jci-20231113.htm
"PROG Holdings, Inc.",insufficient_data,,[],,,low,2025-07-23,https://www.sec.gov/Archives/edgar/data/1808834/000180883425000095/a2025q2ex991secondquarter2.htm
"loanDepot, Inc.",insufficient_data,,[],,,low,2026-05-05,https://www.sec.gov/Archives/edgar/data/1831631/000183163126000057/a2026q1earningsreleaseex991.htm
MOLSON COORS BEVERAGE COMPANY,insufficient_data,,[],"delay or disruption to parts of the Company's business, including its brewery operations, production, and shipments",,low,2021-03-11,https://www.sec.gov/Archives/edgar/data/24545/000110465921034789/tm219417d1_8k.htm
"PROG Holdings, Inc.",insufficient_data,,[],,,low,2026-02-18,https://www.sec.gov/Archives/edgar/data/1808834/000180883426000011/a2025q4ex991fourthquarter2.htm
"Haynes International, Inc.",unknown_unauthorized_access,,[],"Network outage lasting 11 days causing substantial disruption to manufacturing locations, reduced production volume by 2.5%, reduced net revenues by an estimated $18-$20 million, and compressed gross margins due to lower efficiency and absorption of fixed costs.",,high,2023-08-03,https://www.sec.gov/Archives/edgar/data/858655/000155837023013222/hayn-20230803xex99d1.htm
"Orrstown Financial Services, Inc.",third_party_vendor,,['PII'],,,high,2026-05-29,https://www.sec.gov/Archives/edgar/data/826154/000114036126023313/ef20075213_8k.htm
"loanDepot, Inc.",insufficient_data,,[],,,high,2025-11-06,https://www.sec.gov/Archives/edgar/data/1831631/000183163125000218/a2025q3earningsreleaseex991.htm
Equifax,insufficient_data,,[],,,high,2024-07-17,https://www.sec.gov/Archives/edgar/data/33185/000003318524000042/exhibit99120240630.htm
Willis Lease Finance Corporation,unknown_unauthorized_access,,[],"Took certain systems offline, implemented workarounds for some processes where necessary, but continues to operate and service customers.",,medium,2024-02-09,https://www.sec.gov/Archives/edgar/data/1018164/000101816424000005/wlfc-20240209.htm
DaVita Inc.,insufficient_data,,[],temporary disruption of operations,,low,2025-08-05,https://www.sec.gov/Archives/edgar/data/927066/000092706625000122/dva-63025ex991.htm
"Ardent Health Partners, Inc.",insufficient_data,,[],,,low,2025-01-13,https://www.sec.gov/Archives/edgar/data/1756655/000162828025001368/exhibit99-jpmpresentatio.htm
DaVita Inc.,unknown_unauthorized_access,,[],temporary disruption of operations,,low,2025-10-29,https://www.sec.gov/Archives/edgar/data/927066/000092706625000163/dva-93025ex991.htm
Equifax,insufficient_data,,[],,,low,2026-07-21,https://www.sec.gov/Archives/edgar/data/33185/000003318526000024/exhibit99120260630.htm
The Estée Lauder Companies Inc.,unknown_unauthorized_access,,[],"Disruption to parts of the Company's business operations, requiring the proactive shutdown of some systems.",,low,2023-07-19,https://www.sec.gov/Archives/edgar/data/1001250/000114036123035105/brhc20056073_ex99-1.htm
"loanDepot, Inc.",insufficient_data,,[],,,low,2025-08-07,https://www.sec.gov/Archives/edgar/data/1831631/000183163125000152/a2025q2earningsreleaseex991.htm
"Group 1 Automotive, Inc.",third_party_vendor,,[],"Disrupted business applications and processes in U.S. operations that rely on CDK’s dealers’ systems, requiring dealerships to use alternative processes.",,high,2024-06-24,https://www.sec.gov/Archives/edgar/data/1031203/000103120324000048/exhibit991.htm
"loanDepot, Inc.",insufficient_data,,[],,,low,2026-03-10,https://www.sec.gov/Archives/edgar/data/1831631/000183163126000025/a2025q4earningsreleaseex991.htm
"loanDepot, Inc.",insufficient_data,,[],,,low,2025-03-11,https://www.sec.gov/Archives/edgar/data/1831631/000183163125000020/a4q24investorpresentatio.htm
"CRIMSON WINE GROUP, LTD.",unknown_unauthorized_access,,[],,,low,2024-07-05,https://www.sec.gov/Archives/edgar/data/1562151/000156215124000030/cwgl-20240630.htm
"Ardent Health Partners, Inc.",insufficient_data,,,,,low,2025-05-06,https://www.sec.gov/Archives/edgar/data/1756655/000162828025022722/ardt-q125x8kxex991.htm
Equifax,insufficient_data,,[],,,low,2025-07-22,https://www.sec.gov/Archives/edgar/data/33185/000003318525000049/exhibit99120250630.htm
"PROG Holdings, Inc.",insufficient_data,,[],,,low,2025-10-22,https://www.sec.gov/Archives/edgar/data/1808834/000180883425000110/a2025q3ex991thirdquarter20.htm
"loanDepot, Inc.",insufficient_data,,[],,,low,2025-05-06,https://www.sec.gov/Archives/edgar/data/1831631/000183163125000080/a1q25investorpresentatio.htm
"Mueller Water Products, Inc.",unknown_unauthorized_access,,[],caused and expected to continue to cause delays in parts of the Company's business operations that may adversely impact financial results,,low,2023-10-30,https://www.sec.gov/Archives/edgar/data/1350593/000135059323000046/mwareportscybersecurityi.htm
"TTEC Holdings, Inc.",insufficient_data,,[],One-time revenue loss and expenses related to a cybersecurity incident.,,low,2021-11-10,https://www.sec.gov/Archives/edgar/data/1013880/000110465921136968/tm2132463d1_ex99-1.htm
"Artivion, Inc.",insufficient_data,,[],"A short-term backlog in tissue processing operations leading to a 23% decrease in preservation services revenue, which has since returned to normal operations and standard tissue processing times.",,low,2025-05-05,https://www.sec.gov/Archives/edgar/data/784199/000078419925000069/aort-2025x8k033125ex991.htm
"Caesars Entertainment, Inc.",third_party_vendor,,"['PII', ""driver's license numbers"", 'social security numbers', 'loyalty program database']","None reported for customer-facing operations, physical properties, or online and mobile gaming applications.",,high,2023-09-14,https://www.sec.gov/Archives/edgar/data/1590895/000119312523235015/d537840d8k.htm
"Ardent Health Partners, Inc.",insufficient_data,,[],,,low,2024-11-06,https://www.sec.gov/Archives/edgar/data/1756655/000175665524000010/ardt-q324x8kxex991.htm
Data I/O Corporation,ransomware,T1486,[],"Systems temporarily affected and required remediation, restoration, and investigation totaling approximately $180,000 in expenses, though order flow and deliveries remained on track with no believed loss of revenue.",,medium,2025-09-10,https://www.sec.gov/Archives/edgar/data/351998/000165495425010613/daio_ex990.htm
FXCM Inc.,insufficient_data,,[],,,low,2016-02-01,https://www.sec.gov/Archives/edgar/data/1499912/000114420416078205/v430283_ex99-1.htm
"CADRE HOLDINGS, INC.",unknown_unauthorized_access,,[],"Certain of the Company’s operations have been affected, and certain systems were taken offline.",,low,2024-07-19,https://www.sec.gov/Archives/edgar/data/1860543/000110465924081176/tm2419841d1_8k.htm
"Ardent Health, Inc.",insufficient_data,,[],,,low,2025-08-05,https://www.sec.gov/Archives/edgar/data/1756655/000175665525000013/ardt-q225x8kxex991.htm
"Phoenix Education Partners, Inc.",insufficient_data,,[],,,low,2026-04-07,https://www.sec.gov/Archives/edgar/data/1600222/000119312526145522/pxed-ex99_1.htm
Navistar International Corporation,unknown_unauthorized_access,,[],,,medium,2021-06-07,https://www.sec.gov/Archives/edgar/data/808450/000119312521183688/d13020d8k.htm
"PROG Holdings, Inc.",insufficient_data,,[],,,low,2023-10-25,https://www.sec.gov/Archives/edgar/data/1808834/000180883423000104/a2023q3ex991thirdquarter20.htm
"loanDepot, Inc.",insufficient_data,,[],"Systems were taken offline temporarily, inability to take customer locks, lost revenue, and additional expenses totaling $15 million in direct net charges and an estimated $22 million impact on revenue.",,low,2024-05-07,https://www.sec.gov/Archives/edgar/data/1831631/000183163124000110/a2024q1formearningsrelease.htm
Equifax Inc.,unknown_unauthorized_access,,['PII'],,,medium,2019-07-22,https://www.sec.gov/Archives/edgar/data/33185/000119312519198584/d734596d8k.htm
Key Tronic Corporation,insufficient_data,,[],"Disruptions and limited access to portions of business applications supporting operations and corporate functions, including financial and operating reporting systems, at Mexico and U.S. sites, resulting in approximately $15 million of lost revenue and $2.3 million of additional expenses.",,medium,2024-08-02,https://www.sec.gov/Archives/edgar/data/719733/000071973324000044/q42024preliminaryexhibit991.htm
FXCM Inc.,insufficient_data,,[],,,low,2016-01-26,https://www.sec.gov/Archives/edgar/data/1499912/000114420416077020/v429700_ex99-1.htm
